,Submission ID,Scores,Title,Abstract,result,mean
1033,1678,1.25    1.25    1    1.25    ,A Study on Different Feature Extraction Techniques for Audio-visual Speech Recognition,"Audio-visual speech recognition is the recognition of speech by using both acoustic and visual information. Visual speech provides useful information for improving the accuracy of automatic speech recognition both in humans and machines. In this paper we present a review on different features extraction techniques for audio-visual speech recognition. Also, we present various lip/mouth localization techniques since it is an important step for the correct feature extraction. The visual features such as geometric-based features and image transform based features are discussed here. And here we introduce image-transform based feature extraction techniques for Malayalam visual speech recognition.",1.0,1.1875
1316,2560,1    1.25    1.4    1.25    ,"Segmentation, Classification and Clustering Audio in a Broadcast News","The main goal of this paper is to collect audio from a live broadcast news and process it through various methods such as segmentation, classification and clustering. The algorithms used here are both accurate as well as computationally effective. The segmentation divides audio into homogeneous regions according to background conditions. After the segmentation stage each segment is classified using a speech / non-speech discriminator, tagging audio portions without speech, with too much noise. Later the segmented audio is classified based on gender. This helps a lot to improve speaker clustering. With this type of clustering, cluster distances will have a smaller distance matrix which effectively reduces the
search space. We are taking some trained cluster models which contains data about the speakers (anchors). The speaker cluster algorithm used here is modified BIC (Bayesian Information Criterion) which performs better than standard KL2 (Kullback-Leibler) and is much faster than full BIC. After speaker clustering, the resulting clusters are compared one by one against the special anchor cluster models to determine which of those belongs to one of the news anchors. This cluster comparison uses the KL2 distance metrics to measure
cluster similarity.",1.0,1.225
1085,1814,1.7    1    1.2    1.25    ,Signal Enhancement for Telugu Speech Recognition & Text Conversion for Speech & Hearing Impaired,"For a Speech and Hearing Impaired person, comprehending the real time speech through listening only is difficult. They requires real time speech to text conversion. Conversion of STT helps to understand the speech in real time by using visual reinforcement cues. The Speech enhancement techniques helps to obtain a clean speech signal from a noisy environment or a degraded speech. It refers to removing or reducing the background noise in order to obtain an improved quality of original speech signal. Degradation of speech signals is most common problem. A LPC based, weiner filter approach is used for speech enhancement for Telugu language. This method is then compared with several speech enhancement algorithms to obtain better speech quality. NOIZEUS speech database can be  used in order to compare different speech enhancement methods. The research  shows that obtained method provides better result and there is no information loss in original speech signal. Other enhancement methods reviewed in this paper for better noise cancellation. The output is a linear combination of the actual speech input to the system and a synthesized speech signal. The synthesized signal is generated using the LP coefficients and an estimate of the excitation from the current speech.",1.0,1.2875
1092,1829,1    1.45    1.45    ,Adaptive Machine Learning -an Innovative Hearing Aid Technology,"Traditional hearing aid systems have evolved from table sized bulky systems to miniaturise in the canal systems. The effectiveness of any hearing aid is highly accredited to its signal processing ability. Adaptability of a hearing aid into a vast array of listening situations is a crucial factor. But most of the current hearing aids fail to account and acclimatize to all these listening situations.
The current study aims to innovate a machine learning technology based algorithmic program for self adaptability in hearing aid users. . Hearing aid processing configurations for around 07 different listening conditions were mapped. An Artificial Neural Network was built to represent all these listening conditions. Real time input of different listening situations were taken & processed using the built ANN. As a result the ANN yielded configuration settings corresponding to that situation.
The proposed model of adaptive hearing aid programming was compared with the traditional single fit hearing system. Results revealed that the proposed method was preferred by the hearing aid users when compared to the standard programming methods. Therefore this study provides an insight and examines the application of artificial intelligence in hearing aid programming.",1.0,1.3
771,87,1.5    1.05    1.5    1.25    ,An LSTM Language Model for Wakirike Language,"In this paper, a character-based Recurrent Neural Network (RNN) language model is implemented for the Wakirike language as a strategy to address the under-resourced nature of the language for Automatic Speech Recognition (ASR) speech processing.  In this work, a comparable Long Short Term Memory (LSTM) deep RNN Language model is prescribed as a step towards faster and resource affordable ASR systems.  

The Language model implemented in this article while having a small text corpus size was found to be potentially powerful enough to be comparable with the state of the art language models yielding a better relative perplexity score of 2.6 when compared to the score of 3.2 on the n-gram model with smoothing.",1.0,1.325
1097,1848,1.4    1.35    1.8    1.25    ,Audio MNIST Classification Using SVM and KNN,"Most of the Automatic Speech Recognition (ASR) systems
are solving speaker, genre, sound event, sentence and digit identification.
This paper focuses on the English spoken digit classification
using support vector Machine(SVM) and K-Nearest-
Neighbour (KNN) techniques. A new Audio MNIST dataset is
considered for analysis.Current dataset consists of 1500 samples
(3 speakers*50 repetitions*10 digits) having sampling rate
8KHz. As the digit duration is varying from 300ms to 500ms,
different lengths of input samples are choosen for experimentation.
Popular MFCC feature vectors are used as input to the
SVM and KNN techniques.10% of dataset is taken randomly
as testing data to genearte confusion matrix for both techniques.
Finally it can be concluded that caluculated accuracy results
in Gaussian nature with respect to number of frames for
all testing data. For the present dataset best possible accuracy
as 97.59% is achieved for Radial Basis Function(RBF) in SVM.
Index Terms: Spoken digit recognition,SVM,KNN, Audio
MNIST,MFCC.",1.0,1.45
931,1415,1.55    1    1.9    1.65    1.25    ,"Recognition Performance of Wearable Speech Enhancement System under Noisy Environment: an Experiment Using Beamforming, ANR and VAD Algorithms","Wearable speech enhancement (WSE) has the ability to improve the recognition accuracy of the speech signals containing White Gaussian noise. Beamforming, adaptive noise reduction (ANR), and voice active detection (VAC) algorithms are used in WSE system to enhance the speech signals. In a recent work, a recognition accuracy of 63% was reported for 0db signal to noise ratio (SNR), which is not satisfactory for a robust speech recognition system. To improve the recognition accuracy, this research proposed the Beamforming, adaptive noise reduction, and voice active detection algorithms with the inclusion of -10db to 20db SNR. Using the AURORA speech database, the recognition accuracy was 5.6% at -10db SNR and 93.77% for 20db SNR on an average under all noisy environments. The proposed algorithms perform significantly better in higher noisy environment. The improvement to the low noise environment can be the future research direction.",1.0,1.47
990,1577,1.7    1.35    1.5    1.35    ,Interactive Eye Gaze Based Screening of Autism,"Autism Spectrum Disorder (ASD) is one among the leading childhood communication disorders across the world. Children with ASD orient less to socially salient stimuli, such as dynamic social images than typically developing children. Various early assessment programs have been instituted for early identification of autism but none of try to objectively evaluate autistic features in developing children. Early identification of ASD in children helps in early intervention and better prognosis.
In this paper we aim to build a social orienting task for screening autism using eye-tracking technology. The task consists of side by side presentation of dynamic social images and dynamic geometric images. Visual exploration patterns recorded from 60 typically developing children aged below 2 years formed the normative database.
Using OGAMA software, a pilot study was carried out on ten individuals with a confirmed diagnosis of Autism. The results of the pilot study revealed that the developed task was sensitive in identifying toddlers with autism. Further, a large-scale implementation of the proposed task will fine tune the intervention programs and aid in early intervention of children with Autism.",1.0,1.475
1277,2379,1.3    2.2    1.35    1.1    ,Deep Learning Based Speech Emotion Detection for Atypical Affect Sub-Challenge,"In the present work, we have developed a deep neural network based model to predict classes of emotions from utterances of differently-abled persons. Two hidden layers and ten activation units per hidden layer have been employed to develop the model. The input feature set file is the ComParE Acoustic Feature Set containing 6373 static features resulting from the computation of various functions over low-level descriptor (LLD) contours. At first, we selected first 10 features and last 6 features from the ComParE Acoustic Feature Set in a random way whereas in order to maintain a proper scaling, we normalized the feature values and 21.76% accuracy has been achieved. In another try, we selected first 52 features from the same feature set above and a better accuracy of 31.44% has been achieved using the same model. In order to improve the system further, we have selected the important features from those 6373 features using some well-known techniques like information gain and then we trained our system with those selected features.",1.0,1.4874999999999998
1184,2064,2.05    1.4    1.25    1.6    ,On BLSTM-RNN and TDNN-based Continuous Speech Recognition of Low-resourced Languages,"To date, continuous speech recognition (CSR) of low-resourced languages   (minority languages, dialects and varieties of a certain language with relatively few annotated speech data) performs unsatisfactorily. This research takes Indian English for example, explores the effective method in recognizing low-resourced languages. Based on the mainstream neural network algorithms BLSTM-RNN and TDNN, we employ MFCC and PLP to extract features respectively, thus come up with 6 acoustic models. Then the models are tested on the test set and results are analyzed in detail.   Through analysis, we suggest that when dealing with low-resourced languages, PLP is advised in extracting features and TDNN is advised in training the acoustic model.",1.0,1.5749999999999997
911,1362,1    2.25    1.6    ,Speech Recognition Applications for Use in a University “Smart Production Lab”.,"A standard application in the medical and judiciary/legal communities for diagnostic and reporting purposes, respectively, speech recognition technology is now being adopted for domestic purposes, with industrial applications under rapid development. Modern (DL HMM) systems have become highly accurate, but are still prone to error particularly due to two major factors: divergent phonetic output (i.e. dialect, accent, foreign accent, speech impediments) and background noise
The purpose of this work is to test how strongly an L2 accent in English, and a non-standard L1 German accent, will affect error rates on ASR on a standard application, developed by an Austrian business software provider, and an augmented reality device in a smart production technology lab at FH JOANNEUM University of Applied Sciences. The primary goal is to establish usability potential advanced speech recognition applications in the manufacturing industry. Further steps in this project shall include both quantitative and qualitative research for Masters’ theses, in collaboration with a network of industrial partners at our institute. The project should benefit digital manufacturing systems by reducing speech recognition errors from non-standard input. Furthermore, the research should reemphasise the importance of pronunciation and prosody in second language teaching.",1.0,1.6166666666666665
1009,1621,1.25    1.45    2.2    1.85    ,Evaluating Robustness and Accuracy of Semantic Decoder for Spoken Language Understanding,"Spoken Language Understanding (SLU) is an important component in human-computer interaction system which represents speech data into semantic form which is important to understand user’s intension. The human computer interaction system is most commonly placed in noisy environment. This introduces error in Automatic Speech Recognizer (ASR). SLU takes into account ASR errors. Thus robustness of SLU plays important role in efficient working of human computer interaction system. The SLU consist of semantic decoder and belief tracker. Recent line of research models semantic decoder as a classification task or sequence to sequence learning. 
The objective of this research is to evaluate robustness and accuracy of semantic decoder modeled as classification task. The classifiers that were incorporated in semantic decoder are support vector machine (SVM), stochastic gradient descent (SGD), relevance vector classifier (RVC) and variation relevance vector classifier. The results showed that the robustness of semantic decoder was poor when the data available for training was less.The SVM classifier showed maximum robustness and better accuracy as compared to other classifier. The dataset used for semantic decoder classifier is DSTC-II. For SVM, classifier the Inter Cross Entropy (ICE) and accuracy were 1.0 and 0.91. For RVC, ICE and accuracy were 4.055 and 0.52.",1.0,1.6875
884,1282,1.8    2.3    1.55    1.45    ,Delay-sum Beamforming to Enhancement Speech for Conference Devices,"The concept of microphone array processing finds its application in speech processing to enhance the SNR (Signal Noise Ratio) using signals from multiple microphones. Beamforming, also known as Spatial Filtering, is one such microphone array signal processing technique which enhances the SNR by adjusting the delay between the signal captured from multiple microphones. This paper describes the implementation of low complexity classical adaptive delay-sum beamformer for microphone array to enhance the speech SNR for conference speaker phone type of devices. Device considered in this paper has 4 microphones. The delay-sum beamformer works by adjusting the delay for each microphone signal based on the correlation of the microphone captured signals. False predictions of correlations are avoided by the decision averaging technique and energy tracking.",1.0,1.775
